snapshot_datetime,facility_id,unit_id,unit_code,licensed_beds,staffed_beds,blocked_beds,occupied_beds,available_beds,pending_admissions,pending_discharges,occupancy_rate,is_at_capacity
2026-08-11 00:00:00,330101,330101-MICU,MICU,23,22,1,16,5,9,0,0.7619,0
2026-08-11 00:00:00,330101,330101-SICU,SICU,17,16,0,10,6,9,0,0.625,0
2026-08-11 00:00:00,330101,330101-CVICU,CVICU,15,13,0,11,2,9,0,0.8462,0
2026-08-11 00:00:00,330101,330101-SDU,SDU,25,24,1,23,0,9,0,1.0,1
2026-08-11 00:00:00,330101,330101-TELE,TELE,38,35,1,33,1,9,0,0.9706,1
2026-08-11 00:00:00,330101,330101-PACU,PACU,13,12,0,8,4,9,0,0.6667,0
2026-08-11 00:00:00,330101,330101-MS,MS,139,130,2,117,11,9,1,0.9141,1
2026-08-11 00:00:00,330101,330101-ONC,ONC,23,21,1,15,5,9,0,0.75,0
2026-08-11 00:00:00,330101,330101-PEDS,PEDS,21,20,0,14,6,9,0,0.7,0
2026-08-11 00:00:00,330101,330101-LD,LD,17,16,0,10,6,9,0,0.625,0
2026-08-11 00:00:00,330101,330101-PP,PP,23,21,1,11,9,9,0,0.55,0
2026-08-11 00:00:00,330101,330101-PSY,PSY,25,23,1,13,9,9,0,0.5909,0
2026-08-11 00:00:00,330102,330102-MICU,MICU,34,33,1,32,0,20,1,1.0,1
2026-08-11 00:00:00,330102,330102-SICU,SICU,24,21,0,16,5,20,0,0.7619,0
2026-08-11 00:00:00,330102,330102-CVICU,CVICU,21,20,0,18,2,20,0,0.9,1
2026-08-11 00:00:00,330102,330102-NICU,NICU,18,16,1,14,1,20,0,0.9333,1
2026-08-11 00:00:00,330102,330102-SDU,SDU,37,34,1,33,0,20,0,1.0,1
2026-08-11 00:00:00,330102,330102-TELE,TELE,55,49,0,49,0,20,0,1.0,1
2026-08-11 00:00:00,330102,330102-PACU,PACU,18,16,0,10,6,20,0,0.625,0
2026-08-11 00:00:00,330102,330102-MS,MS,201,178,7,168,3,20,0,0.9825,1
2026-08-11 00:00:00,330102,330102-ONC,ONC,34,32,1,22,9,20,0,0.7097,0
2026-08-11 00:00:00,330102,330102-PEDS,PEDS,30,29,0,22,7,20,0,0.7586,0
2026-08-11 00:00:00,330102,330102-LD,LD,24,23,1,19,3,20,0,0.8636,1
2026-08-11 00:00:00,330102,330102-PP,PP,34,31,1,19,11,20,0,0.6333,0
2026-08-11 00:00:00,330102,330102-PSY,PSY,37,35,1,26,8,20,0,0.7647,0
2026-08-11 00:00:00,330102,330102-REHAB,REHAB,18,16,0,15,1,20,0,0.9375,1
2026-08-11 00:00:00,050201,050201-MICU,MICU,21,20,0,20,0,12,0,1.0,1
2026-08-11 00:00:00,050201,050201-SICU,SICU,15,13,1,11,1,12,0,0.9167,1
2026-08-11 00:00:00,050201,050201-CVICU,CVICU,13,12,0,10,2,12,0,0.8333,0
2026-08-11 00:00:00,050201,050201-SDU,SDU,23,21,1,20,0,12,0,1.0,1
2026-08-11 00:00:00,050201,050201-TELE,TELE,34,30,1,28,1,12,0,0.9655,1
2026-08-11 00:00:00,050201,050201-PACU,PACU,11,10,0,8,2,12,0,0.8,0
2026-08-11 00:00:00,050201,050201-MS,MS,125,118,2,114,2,12,0,0.9828,1
