snapshot_datetime,facility_id,unit_id,unit_code,licensed_beds,staffed_beds,blocked_beds,occupied_beds,available_beds,pending_admissions,pending_discharges,occupancy_rate,is_at_capacity
2026-08-09 00:00:00,330101,330101-MICU,MICU,23,22,1,20,1,8,0,0.9524,1
2026-08-09 00:00:00,330101,330101-SICU,SICU,17,16,0,16,0,8,0,1.0,1
2026-08-09 00:00:00,330101,330101-CVICU,CVICU,15,13,0,13,0,8,0,1.0,1
2026-08-09 00:00:00,330101,330101-SDU,SDU,25,24,1,22,1,8,1,0.9565,1
2026-08-09 00:00:00,330101,330101-TELE,TELE,38,35,1,33,1,8,0,0.9706,1
2026-08-09 00:00:00,330101,330101-TELE,TELE,38,35,1,33,1,8,0,0.9706,1
2026-08-09 00:00:00,330101,330101-PACU,PACU,13,12,0,5,7,8,0,0.4167,0
2026-08-09 00:00:00,330101,330101-MS,MS,139,130,2,117,11,8,0,0.9141,1
2026-08-09 00:00:00,330101,330101-ONC,ONC,23,21,1,16,4,8,0,0.8,0
2026-08-09 00:00:00,330101,330101-PEDS,PEDS,21,20,0,11,9,8,0,0.55,0
2026-08-09 00:00:00,330101,330101-LD,LD,17,16,0,9,7,8,1,0.5625,0
2026-08-09 00:00:00,330101,330101-PP,PP,23,21,1,16,4,8,0,0.8,0
2026-08-09 00:00:00,330101,330101-PSY,PSY,25,23,1,11,11,8,0,0.5,0
2026-08-09 00:00:00,330102,330102-MICU,MICU,34,33,1,32,0,26,0,1.0,1
2026-08-09 00:00:00,330102,330102-SICU,SICU,24,21,0,21,0,26,0,1.0,1
2026-08-09 00:00:00,330102,330102-CVICU,CVICU,21,20,0,14,6,26,0,0.7,0
2026-08-09 00:00:00,330102,330102-NICU,NICU,18,16,1,11,4,26,0,0.7333,0
2026-08-09 00:00:00,330102,330102-SDU,SDU,37,34,1,33,0,26,1,1.0,1
2026-08-09 00:00:00,330102,330102-TELE,TELE,55,49,0,46,3,26,0,0.9388,1
2026-08-09 00:00:00,330102,330102-PACU,PACU,18,16,0,16,0,26,0,1.0,1
2026-08-09 00:00:00,330102,330102-MS,MS,201,178,7,155,16,26,0,0.9064,1
2026-08-09 00:00:00,330102,330102-ONC,ONC,34,32,1,25,6,26,0,0.8065,0
2026-08-09 00:00:00,330102,330102-PEDS,PEDS,30,29,0,20,9,26,0,0.6897,0
2026-08-09 00:00:00,330102,330102-LD,LD,24,23,1,22,0,26,0,1.0,1
2026-08-09 00:00:00,330102,330102-PP,PP,34,31,1,24,6,26,0,0.8,0
2026-08-09 00:00:00,330102,330102-PSY,PSY,37,35,1,25,9,26,0,0.7353,0
2026-08-09 00:00:00,330102,330102-REHAB,REHAB,18,16,0,14,2,26,0,0.875,1
2026-08-09 00:00:00,050201,050201-MICU,MICU,21,20,0,18,2,12,2,0.9,1
2026-08-09 00:00:00,050201,050201-SICU,SICU,15,13,1,12,0,12,0,1.0,1
2026-08-09 00:00:00,050201,050201-CVICU,CVICU,13,12,0,12,0,12,0,1.0,1
2026-08-09 00:00:00,050201,050201-SDU,SDU,23,21,1,20,0,12,0,1.0,1
2026-08-09 00:00:00,050201,050201-TELE,TELE,34,30,1,25,4,12,0,0.8621,1
2026-08-09 00:00:00,050201,050201-PACU,PACU,11,10,0,8,2,12,1,0.8,0
2026-08-09 00:00:00,050201,050201-MS,MS,125,118,2,111,5,12,0,0.9569,1
2026-08-09 00:00:00,050201,050201-ONC,ONC,21,20,1,13,6,12,2,0.6842,0
2026-08-09 00:00:00,050201,050201-PEDS,PEDS,19,18,0,13,5,12,0,0.7222,0
2026-08-09 00:00:00,050201,050201-LD,LD,15,14,0,10,4,12,0,0.7143,0
2026-08-09 00:00:00,050201,050201-PP,PP,21,19,1,15,3,12,0,0.8333,0
2026-08-09 00:00:00,050201,050201-PSY,PSY,23,20,0,14,6,12,0,0.7,0
2026-08-09 00:00:00,030301,030301-MICU,MICU,14,14,0,11,3,3,0,0.7857,0
2026-08-09 00:00:00,030301,030301-SDU,SDU,15,13,0,13,0,3,0,1.0,1
2026-08-09 00:00:00,030301,030301-TELE,TELE,22,20,1,16,3,3,0,0.8421,0
2026-08-09 00:00:00,030301,030301-PACU,PACU,8,7,0,6,1,3,0,0.8571,1
2026-08-09 00:00:00,030301,030301-MS,MS,82,76,1,68,7,3,0,0.9067,1
2026-08-09 00:00:00,030301,030301-PEDS,PEDS,12,11,0,7,4,3,0,0.6364,0
2026-08-09 00:00:00,030301,030301-LD,LD,10,9,0,8,1,3,0,0.8889,1
2026-08-09 00:00:00,030301,030301-PP,PP,14,13,0,-9,4,3,0,0.6923,0
2026-08-09 00:00:00,140401,140401-MICU,MICU,19,18,1,16,1,12,0,0.9412,1
2026-08-09 00:00:00,140401,140401-SICU,SICU,14,13,0,6,7,12,0,0.4615,0
2026-08-09 00:00:00,140401,140401-CVICU,CVICU,12,11,0,8,3,12,0,0.7273,0
2026-08-09 00:00:00,140401,140401-SDU,SDU,20,19,0,18,1,12,0,0.9474,1
2026-08-09 00:00:00,140401,140401-TELE,TELE,31,30,1,24,5,12,0,0.8276,0
2026-08-09 00:00:00,140401,140401-PACU,PACU,10,9,0,8,1,12,0,0.8889,1
2026-08-09 00:00:00,140401,140401-MS,MS,112,101,4,96,1,12,0,0.9897,1
2026-08-09 00:00:00,140401,140401-ONC,ONC,19,17,0,10,7,12,0,0.5882,0
2026-08-09 00:00:00,140401,140401-PEDS,PEDS,17,15,1,8,6,12,0,0.5714,0
2026-08-09 00:00:00,140401,140401-LD,LD,14,13,0,8,5,12,0,0.6154,0
2026-08-09 00:00:00,140401,140401-PP,PP,19,17,1,9,7,12,0,0.5625,0
2026-08-09 00:00:00,140401,140401-PSY,PSY,20,18,0,14,4,12,0,0.7778,0
2026-08-09 00:00:00,110501,110501-MICU,MICU,6,6,0,6,0,2,0,1.0,1
2026-08-09 00:00:00,110501,110501-TELE,TELE,9,8,0,8,0,2,0,1.0,1
2026-08-09 00:00:00,110501,110501-PACU,PACU,4,4,0,4,0,2,0,1.0,1
2026-08-09 00:00:00,110501,110501-MS,MS,31,27,0,25,2,2,0,0.9259,1
2026-08-09 01:00:00,330101,330101-MICU,MICU,23,22,1,19,2,10,0,0.9048,1
