snapshot_datetime,facility_id,unit_id,unit_code,licensed_beds,staffed_beds,blocked_beds,occupied_beds,available_beds,pending_admissions,pending_discharges,occupancy_rate,is_at_capacity
2026-08-12 00:00:00,330101,330101-MICU,MICU,23,22,1,19,2,13,0,0.9048,1
2026-08-12 00:00:00,330101,330101-SICU,SICU,17,16,0,11,5,13,0,0.6875,0
2026-08-12 00:00:00,330101,330101-CVICU,CVICU,15,13,0,9,4,13,0,0.6923,0
2026-08-12 00:00:00,330101,330101-SDU,SDU,25,24,1,21,2,13,0,0.913,1
2026-08-12 00:00:00,330101,330101-TELE,TELE,38,35,1,34,0,13,0,1.0,1
2026-08-12 00:00:00,330101,330101-PACU,PACU,13,12,0,6,6,13,0,0.5,0
2026-08-12 00:00:00,330101,330101-MS,MS,139,130,2,120,8,13,0,0.9375,1
2026-08-12 00:00:00,330101,330101-ONC,ONC,23,21,1,16,4,13,0,0.8,0
2026-08-12 00:00:00,330101,330101-PEDS,PEDS,21,20,0,16,4,13,0,0.8,0
2026-08-12 00:00:00,330101,330101-LD,LD,17,16,0,11,5,13,0,0.6875,0
2026-08-12 00:00:00,330101,330101-PP,PP,23,21,1,12,8,13,0,0.6,0
2026-08-12 00:00:00,330101,330101-PSY,PSY,25,23,1,13,9,13,0,0.5909,0
2026-08-12 00:00:00,330102,330102-MICU,MICU,34,31,0,29,2,17,0,0.9355,1
2026-08-12 00:00:00,330102,330102-SICU,SICU,24,21,0,19,2,17,0,0.9048,1
2026-08-12 00:00:00,330102,330102-CVICU,CVICU,21,20,1,17,2,17,0,0.8947,1
2026-08-12 00:00:00,330102,330102-NICU,NICU,18,16,0,16,0,17,0,1.0,1
2026-08-12 00:00:00,330102,330102-SDU,SDU,37,36,0,36,0,17,0,1.0,1
2026-08-12 00:00:00,330102,330102-TELE,TELE,55,49,2,46,1,17,0,0.9787,1
2026-08-12 00:00:00,330102,330102-PACU,PACU,18,16,0,15,1,17,0,0.9375,1
2026-08-12 00:00:00,330102,330102-MS,MS,201,179,1,157,21,17,0,0.882,1
2026-08-12 00:00:00,330102,330102-ONC,ONC,34,30,1,20,9,17,0,0.6897,0
2026-08-12 00:00:00,330102,330102-PEDS,PEDS,30,27,1,13,13,17,0,0.5,0
2026-08-12 00:00:00,330102,330102-LD,LD,24,22,1,15,6,17,0,0.7143,0
2026-08-12 00:00:00,330102,330102-PP,PP,34,33,0,22,11,17,0,0.6667,0
2026-08-12 00:00:00,330102,330102-PSY,PSY,37,36,1,28,7,17,0,0.8,0
2026-08-12 00:00:00,330102,330102-REHAB,REHAB,18,16,0,10,6,17,0,0.625,0
2026-08-12 00:00:00,050201,050201-MICU,MICU,21,19,0,17,2,7,0,0.8947,1
2026-08-12 00:00:00,050201,050201-SICU,SICU,15,15,0,11,4,7,0,0.7333,0
2026-08-12 00:00:00,050201,050201-CVICU,CVICU,13,12,0,10,2,7,0,0.8333,0
2026-08-12 00:00:00,050201,050201-SDU,SDU,23,21,1,19,1,7,0,0.95,1
2026-08-12 00:00:00,050201,050201-TELE,TELE,34,32,1,30,1,7,0,0.9677,1
2026-08-12 00:00:00,050201,050201-PACU,PACU,11,10,0,9,1,7,0,0.9,1
2026-08-12 00:00:00,050201,050201-MS,MS,125,113,2,91,20,7,0,0.8198,0
